id,date,trade_code,high,low,open,close,volume,created_at,updated_at
,7/12/2020,T5Y0716,0,0,0,0,0,,
,7/9/2020,T5Y0716,0,0,0,0,0,,
,7/8/2020,T5Y0716,0,0,0,0,0,,
,7/7/2020,T5Y0716,0,0,0,0,0,,
,7/6/2020,T5Y0716,0,0,0,0,0,,
,7/5/2020,T5Y0716,0,0,0,0,0,,
,7/2/2020,T5Y0716,0,0,0,0,0,,
,8/10/2020,T5Y0811,0,0,0,0,0,,
,8/9/2020,T5Y0811,0,0,0,0,0,,
,8/6/2020,T5Y0811,0,0,0,0,0,,
,8/5/2020,T5Y0811,0,0,0,0,0,,
,8/4/2020,T5Y0811,0,0,0,0,0,,
,8/3/2020,T5Y0811,0,0,0,0,0,,
,7/30/2020,T5Y0811,0,0,0,0,0,,
,7/29/2020,T5Y0811,0,0,0,0,0,,
,7/28/2020,T5Y0811,0,0,0,0,0,,
,7/27/2020,T5Y0811,0,0,0,0,0,,
,7/26/2020,T5Y0811,0,0,0,0,0,,
,7/23/2020,T5Y0811,0,0,0,0,0,,
,7/22/2020,T5Y0811,0,0,0,0,0,,
,7/21/2020,T5Y0811,0,0,0,0,0,,
,7/20/2020,T5Y0811,0,0,0,0,0,,
,7/19/2020,T5Y0811,0,0,0,0,0,,
,7/16/2020,T5Y0811,0,0,0,0,0,,
,7/15/2020,T5Y0811,0,0,0,0,0,,
,7/14/2020,T5Y0811,0,0,0,0,0,,
,7/13/2020,T5Y0811,0,0,0,0,0,,
,7/12/2020,T5Y0811,0,0,0,0,0,,
,7/9/2020,T5Y0811,0,0,0,0,0,,
,7/8/2020,T5Y0811,0,0,0,0,0,,
,7/7/2020,T5Y0811,0,0,0,0,0,,
,7/6/2020,T5Y0811,0,0,0,0,0,,
,7/5/2020,T5Y0811,0,0,0,0,0,,
,7/2/2020,T5Y0811,0,0,0,0,0,,
,8/10/2020,T5Y0812,0,0,0,0,0,,
,8/9/2020,T5Y0812,0,0,0,0,0,,
,8/6/2020,T5Y0812,0,0,0,0,0,,
,8/5/2020,T5Y0812,0,0,0,0,0,,
,8/4/2020,T5Y0812,0,0,0,0,0,,
,8/3/2020,T5Y0812,0,0,0,0,0,,
,7/30/2020,T5Y0812,0,0,0,0,0,,
,7/29/2020,T5Y0812,0,0,0,0,0,,
,7/28/2020,T5Y0812,0,0,0,0,0,,
,7/27/2020,T5Y0812,0,0,0,0,0,,
,7/26/2020,T5Y0812,0,0,0,0,0,,
,7/23/2020,T5Y0812,0,0,0,0,0,,
,7/22/2020,T5Y0812,0,0,0,0,0,,
,7/21/2020,T5Y0812,0,0,0,0,0,,
,7/20/2020,T5Y0812,0,0,0,0,0,,
,7/19/2020,T5Y0812,0,0,0,0,0,,
,7/16/2020,T5Y0812,0,0,0,0,0,,
,7/15/2020,T5Y0812,0,0,0,0,0,,
,7/14/2020,T5Y0812,0,0,0,0,0,,
,7/13/2020,T5Y0812,0,0,0,0,0,,
,7/12/2020,T5Y0812,0,0,0,0,0,,
,7/9/2020,T5Y0812,0,0,0,0,0,,
,7/8/2020,T5Y0812,0,0,0,0,0,,
,7/7/2020,T5Y0812,0,0,0,0,0,,
,7/6/2020,T5Y0812,0,0,0,0,0,,
,7/5/2020,T5Y0812,0,0,0,0,0,,
,7/2/2020,T5Y0812,0,0,0,0,0,,
,8/10/2020,T5Y0813,0,0,0,0,0,,
,8/9/2020,T5Y0813,0,0,0,0,0,,
,8/6/2020,T5Y0813,0,0,0,0,0,,
,8/5/2020,T5Y0813,0,0,0,0,0,,
,8/4/2020,T5Y0813,0,0,0,0,0,,
,8/3/2020,T5Y0813,0,0,0,0,0,,
,7/30/2020,T5Y0813,0,0,0,0,0,,
,7/29/2020,T5Y0813,0,0,0,0,0,,
,7/28/2020,T5Y0813,0,0,0,0,0,,
,7/27/2020,T5Y0813,0,0,0,0,0,,
,7/26/2020,T5Y0813,0,0,0,0,0,,
,7/23/2020,T5Y0813,0,0,0,0,0,,
,7/22/2020,T5Y0813,0,0,0,0,0,,
,7/21/2020,T5Y0813,0,0,0,0,0,,
,7/20/2020,T5Y0813,0,0,0,0,0,,
,7/19/2020,T5Y0813,0,0,0,0,0,,
,7/16/2020,T5Y0813,0,0,0,0,0,,
,7/15/2020,T5Y0813,0,0,0,0,0,,
,7/14/2020,T5Y0813,0,0,0,0,0,,
,7/13/2020,T5Y0813,0,0,0,0,0,,
,7/12/2020,T5Y0813,0,0,0,0,0,,
,7/9/2020,T5Y0813,0,0,0,0,0,,
,7/8/2020,T5Y0813,0,0,0,0,0,,
,7/7/2020,T5Y0813,0,0,0,0,0,,
,7/6/2020,T5Y0813,0,0,0,0,0,,
,7/5/2020,T5Y0813,0,0,0,0,0,,
,7/2/2020,T5Y0813,0,0,0,0,0,,
,8/10/2020,T5Y0814,0,0,0,0,0,,
,8/9/2020,T5Y0814,0,0,0,0,0,,
,8/6/2020,T5Y0814,0,0,0,0,0,,
,8/5/2020,T5Y0814,0,0,0,0,0,,
,8/4/2020,T5Y0814,0,0,0,0,0,,
,8/3/2020,T5Y0814,0,0,0,0,0,,
,7/30/2020,T5Y0814,0,0,0,0,0,,
,7/29/2020,T5Y0814,0,0,0,0,0,,
,7/28/2020,T5Y0814,0,0,0,0,0,,
,7/27/2020,T5Y0814,0,0,0,0,0,,
,7/26/2020,T5Y0814,0,0,0,0,0,,
,7/23/2020,T5Y0814,0,0,0,0,0,,
,7/22/2020,T5Y0814,0,0,0,0,0,,
,7/21/2020,T5Y0814,0,0,0,0,0,,
,7/20/2020,T5Y0814,0,0,0,0,0,,
,7/19/2020,T5Y0814,0,0,0,0,0,,
,7/16/2020,T5Y0814,0,0,0,0,0,,
,7/15/2020,T5Y0814,0,0,0,0,0,,
,7/14/2020,T5Y0814,0,0,0,0,0,,
,7/13/2020,T5Y0814,0,0,0,0,0,,
,7/12/2020,T5Y0814,0,0,0,0,0,,
,7/9/2020,T5Y0814,0,0,0,0,0,,
,7/8/2020,T5Y0814,0,0,0,0,0,,
,7/7/2020,T5Y0814,0,0,0,0,0,,
